State,Selected meteorological station ,Height above mean sea level in metres,Year,Mean temperature-Min (oC),Mean temperature-Max (oC),Rainfall-Total (mm),Rainfall-No. of days,Mean relative humidity (%)
Perlis,Chuping  ,(21.7m),2009,23.8,32.5,2107.1,165.0,80.2
Pulau Pinang,Bayan Lepas,(2.5 m),2009,24.8,31.6,2944.0,187.0,79.8
Pulau Pinang,Butterworth,(3.3m),2009,24.0,31.3,2669.8,190.0,79.9
Sabah,Kota Kinabalu,(2.1m),2009,24.2,32.2,2747.6,175.0,79.2
Sabah,Kudat,(3.5m),2009,24.1,31.3,2848.2,186.0,82.5
Sabah,Sandakan,(12.1m),2009,24.4,31.5,3964.6,209.0,81.4
Sabah,Tawau,(17.5m),2009,23.8,31.3,1999.4,197.0,81.5
Sarawak,Kuching,(20.9m),2009,23.5,31.9,4729.6,238.0,84.0
Sarawak,Miri ,(17.0m),2009,23.8,30.9,3252.2,191.0,81.8
Selangor,"Kuala Lumpur International Airport (KLIA), Sepang",(16.1m),2009,24.0,31.8,2099.2,168.0,81.2
Selangor,Subang,(16.6m),2009,24.4,32.8,2857.4,200.0,75.9
Terengganu,Kuala Terengganu,(5.2m),2009,24.0,30.9,3593.6,178.0,82.5
Wilayah Persekutuan Labuan,Labuan,(27.9m),2009,25.0,31.2,2927.4,190.0,83.8
Johor,Senai,(37.8m),2010,23.5,32.0,2576.2,207.0,84.4
Johor,Kluang,(88.1m),2010,23.4,32.0,1852.7,198.0,85.4
Kedah,Alor Setar,(3.9m),2010,24.6,33.5,-,-,80.0
Kedah,Pulau Langkawi,(6.4m),2010,25.4,32.2,2398.2,180.0,78.8
Kelantan,Kota Bharu,(4.4m),2010,24.2,31.2,2854.4,181.0,79.9
Kelantan,Kuala Krai,(34.9 m),2010,23.0,32.8,2356.6,166.0,85.4
Melaka,Melaka,(8.5m),2010,24.4,32.1,1992.8,177.0,79.7
Pahang,Kuantan,(15.2m),2010,24.0,32.3,2319.0,182.0,84.5
Pahang,Cameron Highlands,"(1,545.0m)",2010,15.4,22.7,2451.0,234.0,89.4
Perak,Ipoh,(40.1m),2010,24.0,32.9,3189.1,217.0,82.1
Perak,Sitiawan,(6.8m),2010,24.2,32.7,1517.6,181.0,82.1
Perlis,Chuping  ,(21.7m),2010,24.2,33.3,2201.9,175.0,79.6
Pulau Pinang,Bayan Lepas,(2.5 m),2010,25.2,32.1,2092.0,177.0,80.2
